budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
police,2018-19,police__null__welfare of police personnel,2055__0__113,4.6517,6.655,8.895,9.063,level_3,police__welfare of police personnel,3,3,1291,Police -> Welfare Of Police Personnel,welfare of police personnel,police_welfare_of_police_personnel
police,2019-20,police__null__welfare of police personnel,2055__0__113,4.6039,9.063,9.1765,9.7381,level_3,police__welfare of police personnel,3,3,1292,Police -> Welfare Of Police Personnel,welfare of police personnel,police_welfare_of_police_personnel
police,2020-21,police__null__welfare of police personnel,2055__0__113,5.942200000000001,9.7381,10.9781,7.692699999999999,level_3,police__welfare of police personnel,3,3,1293,Police -> Welfare Of Police Personnel,welfare of police personnel,police_welfare_of_police_personnel
police,2021-22,police__null__welfare of police personnel,2055__0__113,5.553299999999999,7.692699999999999,8.3927,7.4653,level_3,police__welfare of police personnel,3,3,1294,Police -> Welfare Of Police Personnel,welfare of police personnel,police_welfare_of_police_personnel
police,2022-23,police__null__welfare of police personnel,2055__0__113,5.6503,7.4653,7.7653,8.5124,level_3,police__welfare of police personnel,3,3,1295,Police -> Welfare Of Police Personnel,welfare of police personnel,police_welfare_of_police_personnel
police,2018-19,police__null__wireless and computers,2055__0__114,129.3655,160.56109999999998,191.1111,197.7855,level_3,police__wireless and computers,3,3,1296,Police -> Wireless And Computers,wireless and computers,police_wireless_and_computers
police,2019-20,police__null__wireless and computers,2055__0__114,155.0506,197.7855,201.0189,250.995,level_3,police__wireless and computers,3,3,1297,Police -> Wireless And Computers,wireless and computers,police_wireless_and_computers
police,2020-21,police__null__wireless and computers,2055__0__114,184.0503,250.995,261.2063,220.5178,level_3,police__wireless and computers,3,3,1298,Police -> Wireless And Computers,wireless and computers,police_wireless_and_computers
police,2021-22,police__null__wireless and computers,2055__0__114,185.2545,220.5178,227.9416,271.9493,level_3,police__wireless and computers,3,3,1299,Police -> Wireless And Computers,wireless and computers,police_wireless_and_computers
police,2022-23,police__null__wireless and computers,2055__0__114,176.8215,271.9493,273.1491,297.1868,level_3,police__wireless and computers,3,3,1300,Police -> Wireless And Computers,wireless and computers,police_wireless_and_computers
police,2018-19,police__null__modernisation of police force,2055__0__115,8.453,84.3932,84.3932,84.8681,level_3,police__modernisation of police force,3,3,1301,Police -> Modernisation Of Police Force,modernisation of police force,police_modernisation_of_police_force
police,2019-20,police__null__modernisation of police force,2055__0__115,31.0604,84.8681,84.8681,92.4819,level_3,police__modernisation of police force,3,3,1302,Police -> Modernisation Of Police Force,modernisation of police force,police_modernisation_of_police_force
police,2020-21,police__null__modernisation of police force,2055__0__115,28.390099999999997,92.4819,94.6514,34.0043,level_3,police__modernisation of police force,3,3,1303,Police -> Modernisation Of Police Force,modernisation of police force,police_modernisation_of_police_force
police,2021-22,police__null__modernisation of police force,2055__0__115,16.9805,34.0043,42.272,52.5431,level_3,police__modernisation of police force,3,3,1304,Police -> Modernisation Of Police Force,modernisation of police force,police_modernisation_of_police_force
police,2022-23,police__null__modernisation of police force,2055__0__115,10.6428,52.5431,53.3716,56.2009,level_3,police__modernisation of police force,3,3,1305,Police -> Modernisation Of Police Force,modernisation of police force,police_modernisation_of_police_force
police,2018-19,police__null__other expenditure,2055__0__800,429.0887,788.8366000000001,872.5746,722.5331,level_3,police__other expenditure,3,3,1306,Police -> Other Expenditure,other expenditure,police_other_expenditure
police,2019-20,police__null__other expenditure,2055__0__800,536.3119,722.5331,729.4400999999999,899.962,level_3,police__other expenditure,3,3,1307,Police -> Other Expenditure,other expenditure,police_other_expenditure
police,2020-21,police__null__other expenditure,2055__0__800,571.9953,899.962,925.473,731.4961,level_3,police__other expenditure,3,3,1308,Police -> Other Expenditure,other expenditure,police_other_expenditure
police,2021-22,police__null__other expenditure,2055__0__800,676.3294999999999,731.4961,821.5861,709.1950999999999,level_3,police__other expenditure,3,3,1309,Police -> Other Expenditure,other expenditure,police_other_expenditure
police,2022-23,police__null__other expenditure,2055__0__800,725.4958,709.1950999999999,719.2427,800.3292000000001,level_3,police__other expenditure,3,3,1310,Police -> Other Expenditure,other expenditure,police_other_expenditure
police,2018-19,capital outlay on police__null__state police,4055__0__207,0,180.7605,181.1444,162.4777,level_3,capital outlay on police__state police,3,3,1311,Capital Outlay On Police -> State Police,capital outlay,capital_outlay_on_police_state_police
police,2019-20,capital outlay on police__null__state police,4055__0__207,156.9691,162.4777,162.4777,166.75009999999995,level_3,capital outlay on police__state police,3,3,1312,Capital Outlay On Police -> State Police,capital outlay,capital_outlay_on_police_state_police
police,2020-21,capital outlay on police__null__state police,4055__0__207,109.0783,166.75009999999995,166.75119999999998,212.5063,level_3,capital outlay on police__state police,3,3,1313,Capital Outlay On Police -> State Police,capital outlay,capital_outlay_on_police_state_police
police,2021-22,capital outlay on police__null__state police,4055__0__207,15.207,212.5063,222.5063,169.1845,level_3,capital outlay on police__state police,3,3,1314,Capital Outlay On Police -> State Police,capital outlay,capital_outlay_on_police_state_police
