grant,head_title_updated,category
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__salaries,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__travel expenses,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__office expenses,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__secret service expenditure,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__minor works,district police - checking of bangladeshi infiltration
police,police__district police__general security related expenditure__deployment of central and other police force__minor works,district police - general security related expenditure
police,police__district police__general security related expenditure__deployment of central and other police force__deployment etc,district police - general security related expenditure
police,police__village police__village police/village defence organisation__fr. vd__other charges,village police
police,police__village police__village police/village defence organisation__hospitality expenses / sumptuary allowances etc,village police
police,police__village police__village police/village defence organisation__materials & supplies,village police
police,police__village police__village police/village defence organisation__office expenses,village police
police,police__railway police__supervising staff__salaries,railway police
police,police__railway police__supervising staff__travel expenses,railway police
police,police__railway police__supervising staff__office expenses,railway police
police,police__railway police__supervising staff__minor works,railway police
police,police__railway police__crime police__salaries,railway police
police,police__railway police__crime police__travel expenses,railway police
police,police__railway police__crime police__office expenses,railway police
police,police__railway police__order police__salaries,railway police
police,police__railway police__order police__travel expenses,railway police
police,police__welfare of police personnel__police hospital__salaries,welfare of police personnel
police,police__welfare of police personnel__police hospital__travel expenses,welfare of police personnel
police,police__welfare of police personnel__police hospital__office expenses,welfare of police personnel
police,police__wireless and computers__wireless and computer__salaries,wireless and computers
police,police__wireless and computers__wireless and computer__travel expenses,wireless and computers
police,police__wireless and computers__wireless and computer__office expenses,wireless and computers
police,police__wireless and computers__wireless and computer__minor works,wireless and computers
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__salaries,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__travel expenses,other expenditure - relief operation in connection with disturbances
