category,major_head_code,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22,2022-23
jails,2056,level_7_code,2056__0__1__172__0__5__99,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__14__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__16__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__19__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__16__0,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__6__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__15__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__14__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__19,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__14__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__19__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__6__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__26__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__26__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__19__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__6__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__15__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__19__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__15__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__487__600__26__13,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__2__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__2__12,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__2__12,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__2__12,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__2__12,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__2__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__26__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__5,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__7,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__8,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__9,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__10,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__11,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__19__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__19__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__19__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__19__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__16,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__19__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__19__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__15__1,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__32__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__52,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__19__98,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__4__8,TRUE,TRUE,TRUE,TRUE,TRUE
