budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.8359,2.2948,2.2948,2.2246,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.974,2.2246,2.2246,2.1903,level_6
jails,2022-23,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.8775,2.1903,2.1903,2.5537,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.005,0.0385,0.0385,0.0424,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.004,0.0424,0.0424,0.0424,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.0116,0.0424,0.0424,0.0394,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.024900000000000002,0.0394,0.0394,0.0355,level_6
jails,2022-23,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.0044,0.0355,0.0355,0.009000000000000001,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,0.024,0.024,0.226,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,0.226,0.226,0.2,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,0.2,0.2,1e-4,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0.06,1e-4,1e-4,0.0451,level_6
jails,2022-23,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,0.0451,0.0451,1e-4,level_6
jails,2018-19,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,0.4425,0.5117,0.6677,0.6463,level_6
jails,2019-20,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,0.5457,0.6463,0.6463,0.6849,level_6
jails,2020-21,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,0.515,0.6849,0.8024,0.809,level_6
jails,2021-22,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,0.7531,0.809,0.809,0.7547,level_6
jails,2022-23,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,0.7031000000000001,0.7547,0.7547,0.6729,level_6
jails,2018-19,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.004699999999999999,0.01,0.01,0.01,level_6
jails,2019-20,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.0034999999999999996,0.01,0.01,0.01,level_6
jails,2020-21,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.0086,0.01,0.01,0.009300000000000001,level_6
jails,2021-22,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.0097,0.009300000000000001,0.009300000000000001,0.0045000000000000005,level_6
jails,2022-23,jails__null__direction and administration__range__null__travel expenses,2056__0__1__1738__0__3,0.0168,0.0045000000000000005,0.0045000000000000005,0.0040999999999999995,level_6
jails,2018-19,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,30.3669,35.8857,43.735699999999994,45.4947,level_6
jails,2019-20,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,36.631600000000006,45.4947,45.4947,49.008900000000004,level_6
jails,2020-21,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,38.6998,49.008900000000004,49.008900000000004,44.6241,level_6
jails,2021-22,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,39.8641,44.6241,44.6241,44.484100000000005,level_6
jails,2022-23,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,38.9441,44.484100000000005,44.484100000000005,54.045199999999994,level_6
jails,2018-19,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,0.3069,0.45,0.45,0.495,level_6
jails,2019-20,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,0.1734,0.495,0.495,0.4941,level_6
jails,2020-21,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,0.4403,0.4941,0.4941,0.4595,level_6
jails,2021-22,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,0.38,0.4595,0.4595,0.23850000000000002,level_6
jails,2022-23,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,0.2433,0.23850000000000002,0.23850000000000002,0.2147,level_6
jails,2018-19,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,0.2445,0.17550000000000002,0.17550000000000002,0.23199999999999998,level_6
jails,2019-20,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,0.15239999999999998,0.23199999999999998,0.23199999999999998,0.61,level_6
jails,2020-21,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,0.0974,0.61,0.81,0.6882,level_6
jails,2021-22,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,0.2347,0.6882,0.6882,0.54,level_6
jails,2022-23,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,0,0.54,0.54,0.261,level_6
jails,2018-19,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,0.055,0.055,2e-4,level_6
jails,2019-20,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0.0342,2e-4,2e-4,0.19210000000000002,level_6
jails,2020-21,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,0.19210000000000002,0.29710000000000003,2e-4,level_6
jails,2021-22,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0.2121,2e-4,0.16020000000000004,1e-4,level_6
jails,2022-23,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,1e-4,1e-4,0,level_6
jails,2018-19,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,20.3462,17.9248,17.9248,19.1552,level_6
jails,2019-20,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,17.3648,19.1552,19.1552,20.698,level_6
jails,2020-21,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,16.9374,20.698,20.698,18.1629,level_6
jails,2021-22,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,19.5713,18.1629,18.1629,16.5557,level_6
jails,2022-23,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,16.6802,16.5557,16.5557,14.883899999999999,level_6
jails,2018-19,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,0.7539,0.8403,1.1278,1.0262,level_6
jails,2019-20,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,0.8968,1.0262,1.0262,1.0828,level_6
jails,2020-21,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,0.785,1.0828,1.0828,0.9826,level_6
jails,2021-22,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,0.857,0.9826,0.9826,0.9438000000000001,level_6
jails,2022-23,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,0.8451000000000001,0.9438000000000001,0.9438000000000001,1.2505,level_6
jails,2018-19,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,0.626,0.6895,0.9335,0.8969,level_6
jails,2019-20,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,0.6318,0.8969,0.8969,0.9739999999999999,level_6
jails,2020-21,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,0.8895000000000001,0.9739999999999999,0.9739999999999999,0.9281,level_6
jails,2021-22,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,0.8389,0.9281,0.9281,0.9417,level_6
jails,2022-23,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,0.8859999999999999,0.9417,0.9417,1.2742,level_6
jails,2018-19,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.0059,0.006999999999999999,0.006999999999999999,0.006999999999999999,level_6
jails,2019-20,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.0018,0.006999999999999999,0.006999999999999999,0.006999999999999999,level_6
jails,2020-21,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006500000000000001,level_6
jails,2021-22,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.006999999999999999,0.006500000000000001,0.006500000000000001,0.0045000000000000005,level_6
jails,2022-23,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.0023,0.0045000000000000005,0.0045000000000000005,0.0040999999999999995,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,0.2554,0.3,0.3,0.33,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,0.10949999999999999,0.33,0.33,0.5009,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,0.315,0.5009,0.5009,0.09300000000000001,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,0.0664,0.09300000000000001,0.11470000000000001,0.099,level_6
jails,2022-23,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,0,0.099,0.099,0.09,level_6
jails,2018-19,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.032400000000000005,0.08,0.08,0.08,level_6
jails,2019-20,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.0045000000000000005,0.08,0.08,0.08,level_6
jails,2020-21,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.0031,0.08,0.08,0.0704,level_6
jails,2021-22,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.0075,0.0704,0.0704,0.0664,level_6
jails,2022-23,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.0018,0.0664,0.0664,0.0246,level_6
jails,2018-19,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,2.8939999999999997,4.06,4.06,5.2955,level_6
jails,2019-20,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,1.9239000000000002,5.2955,5.2955,5.4516,level_6
jails,2020-21,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,2.8113,5.4516,5.5565999999999995,4.21,level_6
jails,2021-22,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,2.9498,4.21,4.21,2.537,level_6
jails,2022-23,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,1.8595000000000002,2.537,3.227,2.2747,level_6
jails,2018-19,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0.04190000000000001,0.052000000000000005,0.052000000000000005,0.052000000000000005,level_6
jails,2019-20,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0,0.052000000000000005,0.052000000000000005,0.052000000000000005,level_6
jails,2020-21,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0,0.052000000000000005,0.052000000000000005,0.048400000000000006,level_6
jails,2021-22,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0.0391,0.048400000000000006,0.048400000000000006,0.0436,level_6
jails,2022-23,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0,0.0436,0.0436,0.0105,level_6
jails,2018-19,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,0.65,0.65,4,level_6
jails,2019-20,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,4,4,4,level_6
jails,2020-21,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,4,4,3.72,level_6
jails,2021-22,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0.7608,3.72,3.72,3.3480000000000003,level_6
jails,2022-23,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0.8427,3.3480000000000003,3.3480000000000003,3.015,level_6
jails,2018-19,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,0.0384,0.043,0.043,0.044500000000000005,level_6
jails,2019-20,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,0.0101,0.044500000000000005,0.044500000000000005,0.044500000000000005,level_6
