budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
jails,2021-22,jails__null__jails__changes for police custody,2056__0__101__487,5.021599999999999,7.6963,7.6963,2.8963,level_4,jails__jails__changes for police custody,4,4,52,Jails -> Jails -> Changes For Police Custody,jails,jails_jails_changes_for_police_custody
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,0,6.563400000000001,6.563400000000001,16.3609,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,53,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,0.8109000000000001,16.3609,16.3609,20.2114,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,54,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,6.5839,20.2114,20.2114,17.0158,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,55,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,16.241500000000002,17.0158,17.0158,0,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,56,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4059__1__101__172,0.032,8,8,2,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4,4,57,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Head Quarters Establishment,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_head_quarters_establishment
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4059__1__101__172,0,2,2,1.3857,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4,4,58,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Head Quarters Establishment,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_head_quarters_establishment
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4059__1__101__172,0,1.3857,1.3857,0,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,4,4,59,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Head Quarters Establishment,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_head_quarters_establishment
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0,0.6,0.6,0.9311,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,60,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> District Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_district_jails
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0.3577,0.9311,0.9311,1,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,61,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> District Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_district_jails
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0.6683,1,1,0.5985,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,62,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> District Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_district_jails
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0.8462999999999999,0.5985,0.5985,0,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,63,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> District Jails,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_district_jails
jails,2018-19,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.3669,0.5123,0.7983,0.679,level_5,jails__jails__district jails__movement of prisons,5,5,84,Jails -> Jails -> District Jails -> Movement Of Prisons,district jails,jails_jails_district_jails_movement_of_prisons
jails,2019-20,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.5909,0.679,0.679,0.6975,level_5,jails__jails__district jails__movement of prisons,5,5,85,Jails -> Jails -> District Jails -> Movement Of Prisons,district jails,jails_jails_district_jails_movement_of_prisons
jails,2020-21,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.4876,0.6975,0.7425,0.8096000000000001,level_5,jails__jails__district jails__movement of prisons,5,5,86,Jails -> Jails -> District Jails -> Movement Of Prisons,district jails,jails_jails_district_jails_movement_of_prisons
jails,2021-22,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.6789000000000001,0.8096000000000001,0.8198000000000001,0.7443000000000001,level_5,jails__jails__district jails__movement of prisons,5,5,87,Jails -> Jails -> District Jails -> Movement Of Prisons,district jails,jails_jails_district_jails_movement_of_prisons
jails,2018-19,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,3.5532,3.095,3.095,4.604,level_5,jails__jails__changes for police custody__movement of prisons,5,5,88,Jails -> Jails -> Changes For Police Custody -> Movement Of Prisons,jails,jails_jails_changes_for_police_custody_movement_of_prisons
jails,2019-20,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,3.0877,4.604,8.238999999999999,8.252,level_5,jails__jails__changes for police custody__movement of prisons,5,5,89,Jails -> Jails -> Changes For Police Custody -> Movement Of Prisons,jails,jails_jails_changes_for_police_custody_movement_of_prisons
jails,2020-21,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,8.1282,8.252,8.252,7.6963,level_5,jails__jails__changes for police custody__movement of prisons,5,5,90,Jails -> Jails -> Changes For Police Custody -> Movement Of Prisons,jails,jails_jails_changes_for_police_custody_movement_of_prisons
