category,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__hill allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__office expenses__electricity and water charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__minor works__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__maintenance__departmental building,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__materials & supplies__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,"jails__null__jails__district jails__movement of prisons__rents, rates & taxes / royalty__rates &taxes",TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__other charges__disaster management,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__other charges__training,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__materials & supplies__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,"jails__null__other expenditure__open air jails__null__rents, rates & taxes / royalty__rates &taxes",TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__machinery and equipment / tools & plants__machinery and equipment,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__materials & supplies__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__machinery and equipment / tools & plants__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__changes for police custody__movement of prisons__other charges__transportation charges,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__wages__bungalow peon,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__wages__prisoners,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__wages__prisoners,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__wages__prisoners,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__wages__prisoners,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__arrear salary/da,TRUE,TRUE,FALSE,TRUE
jails,level_7,jails__null__jails__district jails__null__wages__wages to casual employees,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__others,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__others,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__other charges__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__postage stamp,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__telephone charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__office equipments including computers & accessories,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__stationery and printing of forms,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__furniture,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__liveries,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__maintenance of vehicles,TRUE,TRUE,TRUE,TRUE
jails,level_7,"jails__null__direction and administration__head quarters establishment__null__office expenses__petrol, oil and lubricants (pol)",TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__books and periodicals,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__refreshment expenses,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__materials & supplies__medicine,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__materials & supplies__diet,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__materials & supplies__medicine,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__materials & supplies__diet,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__salaries__fixed pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__materials & supplies__medicine,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__materials & supplies__diet,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__machinery and equipment / tools & plants__machinery and equipment,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__grants-in-aid general (non-salary)__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration__major works__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure__major works__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)__major works__others",TRUE,TRUE,TRUE,TRUE
jails,level_7,গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য__capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__na__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null__major works__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__travel expenses__regular,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__city compensatory allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__materials & supplies__arrears,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__office expenses__maintenance of vehicles,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__travel expenses__regular,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__salaries__kit maintenance allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__ration allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__machine and dhobi allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__kit allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__remote area allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__range__null__travel expenses__regular,TRUE,TRUE,TRUE,TRUE
