Ministry,Head,Scheme,schemeID,Budget 2016-2017 _Revenue,Budget 2016-2017 _Capital,Budget 2016-2017 _Total,Revised 2016-2017 _Revenue,Revised 2016-2017 _Capital,Revised 2016-2017 _Total,Actual 2016-2017 _Revenue,Actual 2016-2017 _Capital,Actual 2016-2017 _Total,Budget 2017-2018 _Revenue,Budget 2017-2018 _Capital,Budget 2017-2018 _Total,Revised 2017-2018 _Revenue,Revised 2017-2018 _Capital,Revised 2017-2018 _Total,Actual 2017-2018 _Revenue,Actual 2017-2018 _Capital,Actual 2017-2018 _Total,Budget 2018-2019 _Revenue,Budget 2018-2019 _Capital,Budget 2018-2019 _Total,Revised 2018-2019 _Revenue,Revised 2018-2019 _Capital,Revised 2018-2019 _Total,Actual 2018-2019 _Revenue,Actual 2018-2019 _Capital,Actual 2018-2019 _Total,Budget 2019-2020 _Revenue,Budget 2019-2020 _Capital,Budget 2019-2020 _Total,Revised 2019-2020 _Revenue,Revised 2019-2020 _Capital,Revised 2019-2020 _Total,Actual 2019-2020 _Revenue,Actual 2019-2020 _Capital,Actual 2019-2020 _Total,Budget 2020-2021 _Revenue,Budget 2020-2021 _Capital,Budget 2020-2021 _Total,Revised 2020-2021 _Revenue,Revised 2020-2021 _Capital,Revised 2020-2021 _Total,Actual 2020-2021 _Revenue,Actual 2020-2021 _Capital,Actual 2020-2021 _Total,Budget  2021-2022 _Revenue,Budget  2021-2022 _Capital,Budget  2021-2022 _Total,Revised 2021-2022 _Revenue,Revised 2021-2022 _Capital,Revised 2021-2022 _Total,Budget  2022-2023 _Revenue,Budget  2022-2023 _Capital,Budget  2022-2023 _Total
Law and Justice,Elections,Elections,L24,3649.29,0,3649.29,2729.29,0,2729.29,2371.34,0,2371.34,1584.61,0,1584.61,1208.45,0,1208.45,1205.02,0,1205.02,1087.12,0,1087.12,917.73,0,917.73,912.84,0,912.84,1429.55,0,1429.55,1380.06,0,1380.06,1378.48,0,1378.48,487,0,487,73.5,0,73.5,70.84,0,70.84,169.3,0,169.3,1635.86,0,1635.86,317,0,317
Law and Justice,Collection of Taxes on Income and Expenditure,Collection of Taxes on Income and Expenditure,L25,73.48,0,73.48,85.01,0,85.01,79.25,0,79.25,98.35,0,98.35,96.34,0,96.34,84.58,0,84.58,90.35,0,90.35,102.85,0,102.85,94.25,0,94.25,108.93,0,108.93,108.93,0,108.93,99.53,0,99.53,122.9,0,122.9,112.7,0,112.7,95.81,0,95.81,119.3,0,119.3,118.35,0,118.35,122,0,122
Law and Justice,Secretariat-General Services,Secretariat-General Services,L26,126.81,0,126.81,120.06,0,120.06,106.37,0,106.37,135.41,0,135.41,133.7,0,133.7,109.01,0,109.01,120.15,0,120.15,127.66,0,127.66,117.65,0,117.65,138.04,0,138.04,138.04,0,138.04,124.54,0,124.54,147.43,0,147.43,134.31,0,134.31,115.51,0,115.51,147.4,0,147.4,153.28,0,153.28,169.98,0,169.98
Law and Justice,Other Administrative Services,Other Administrative Services,L27,21.21,0,21.21,23.88,0,23.88,21.19,0,21.19,22.17,0,22.17,17.89,0,17.89,16.82,0,16.82,12.98,0,12.98,12.67,0,12.67,10.81,0,10.81,14.17,0,14.17,14.17,0,14.17,9.73,0,9.73,14.8,0,14.8,13.3,0,13.3,9.71,0,9.71,14.3,0,14.3,14.3,0,14.3,15.7,0,15.7
Law and Justice,Capital Outlay on Other Administrative Services,Capital Outlay on Other Administrative Services,L28,0,88.01,88.01,0,30.32,30.32,0,7.72,7.72,0,1071.27,1071.27,0,1531,1531,0,1506.79,1506.79,0,1800,1800,0,3972.17,3972.17,0,3676.96,3676.96,0,135,135,0,110,110,0,49.62,49.62,0,200,200,0,286,286,0,286,286,0,1100,1100,0,1122,1122,0,1615,1615
Law and Justice,Social Security and Welfare,Social Security and Welfare,L29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2
Law and Justice,North Eastern Areas,North Eastern Areas,L30,90,0,90,92.36,0,92.36,0,0,0,106.17,0,106.17,101.64,0,101.64,0,0,0,112.7,0,112.7,97.5,0,97.5,0,0,0,101.23,0,101.23,120,0,120,0,0,0,105,0,105,81.4,0,81.4,0,0,0,92.28,0,92.28,92.28,0,92.28,89.99,0,89.99
Law and Justice,Grants-in-aid to State Governments,Grants-in-aid to State Governments,L31,460.01,0,460.01,425.74,0,425.74,465.59,0,465.59,486.29,0,486.29,535.58,0,535.58,604.21,0,604.21,515,0,515,589.19,0,589.19,656.69,0,656.69,592.42,0,592.42,831,0,831,933,0,933,630,0,630,483.6,0,483.6,547,0,547,639.72,0,639.72,634.16,0,634.16,706.01,0,706.01
Law and Justice,Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,L32,75,0,75,75,0,75,75,0,75,75,0,75,25,0,25,25,0,25,50,0,50,0,0,0,0,0,0,50,0,50,55,0,55,56.83,0,56.83,50,0,50,50,0,50,51.65,0,51.65,60,0,60,60,0,60,60,0,60
Total,Total,Total,LT2,5011.99,88.01,5100,4032.97,30.32,4063.29,3608.14,7.72,3615.86,3072.39,1071.27,4143.66,2658.93,1531,4189.93,2615.69,1506.79,4122.48,2586.33,1800,4386.33,2354.64,3972.17,6326.81,2294.15,3676.96,5971.11,2920.11,135,3055.11,3063.36,110,3173.36,3031.71,49.62,3081.33,2000,200,2200,1322.46,286,1608.46,1271.3,286,1557.3,1545.82,1100,2645.82,3089,1122,4211,1778.48,1615,3393.48
