budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
justice,2020-21,administration of justice__null__high courts__establishment,2014__0__102__152,5340.89,6135.06,6385.06,6833.37,level_4,administration of justice__high courts__establishment,4,4,Administration Of Justice - High Courts - Establishment,high courts
justice,2021-22,administration of justice__null__high courts__establishment,2014__0__102__152,5906.0999999999995,6833.37,6833.37,7030.69,level_4,administration of justice__high courts__establishment,4,4,Administration Of Justice - High Courts - Establishment,high courts
justice,2018-19,administration of justice__null__high courts__judges,2014__0__102__304,334.81,900.32,900.32,1150,level_4,administration of justice__high courts__judges,4,4,Administration Of Justice - High Courts - Judges,high courts
justice,2019-20,administration of justice__null__high courts__judges,2014__0__102__304,573.04,1150,1150,1248,level_4,administration of justice__high courts__judges,4,4,Administration Of Justice - High Courts - Judges,high courts
justice,2020-21,administration of justice__null__high courts__judges,2014__0__102__304,691.0699999999999,1248,1248,1090.79,level_4,administration of justice__high courts__judges,4,4,Administration Of Justice - High Courts - Judges,high courts
justice,2021-22,administration of justice__null__high courts__judges,2014__0__102__304,812.55,1090.79,1090.79,1413.45,level_4,administration of justice__high courts__judges,4,4,Administration Of Justice - High Courts - Judges,high courts
justice,2018-19,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,0,4473.62,4473.62,5305.12,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,Administration Of Justice - Civil And Session Courts - Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court
justice,2019-20,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,189.56,5305.12,5305.12,0,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,Administration Of Justice - Civil And Session Courts - Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court
justice,2020-21,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,546.39,0,293.12,1720.5,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,Administration Of Justice - Civil And Session Courts - Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court
justice,2021-22,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,266.21,1720.5,1720.5,0,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,Administration Of Justice - Civil And Session Courts - Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court
justice,2018-19,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,145.24,549.4,549.4,602.37,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Pleader,legal advisers and counsels - government pleader
justice,2019-20,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,193.35,602.37,603.37,617.51,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Pleader,legal advisers and counsels - government pleader
justice,2020-21,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,179.32000000000002,617.51,645.51,423.40999999999997,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Pleader,legal advisers and counsels - government pleader
justice,2021-22,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,208.61999999999998,423.40999999999997,423.40999999999997,381.74,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Pleader,legal advisers and counsels - government pleader
justice,2018-19,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,826.15,2211.21,2211.21,2425.5,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,Administration Of Justice - Legal Advisers And Counsels - Public Prosecutor.,legal advisers and counsels - public prosecutor
justice,2019-20,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,1550.75,2425.5,2428.5,2570.75,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,Administration Of Justice - Legal Advisers And Counsels - Public Prosecutor.,legal advisers and counsels - public prosecutor
justice,2020-21,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,1509.9599999999998,2570.75,2700.75,2594.11,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,Administration Of Justice - Legal Advisers And Counsels - Public Prosecutor.,legal advisers and counsels - public prosecutor
justice,2021-22,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,1986.1100000000001,2594.11,2594.11,2045.58,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,Administration Of Justice - Legal Advisers And Counsels - Public Prosecutor.,legal advisers and counsels - public prosecutor
