budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
justice,2019-20,capital outlay on housing__government residential buildings__other housing programme (gad),4216__1__700,0.6319,12,12,12,level_3,capital outlay on housing__government residential buildings__other housing programme (gad),3,3,387,Capital Outlay On Housing -> Government Residential Buildings -> Other Housing Programme (Gad),capital outlay,capital_outlay_on_housing_government_residential_buildings_other_housing_programme_(gad)
justice,2020-21,capital outlay on housing__government residential buildings__other housing programme,4216__1__700,2.1062,12,12,9.855,level_3,capital outlay on housing__government residential buildings__other housing programme,3,3,388,Capital Outlay On Housing -> Government Residential Buildings -> Other Housing Programme,capital outlay,capital_outlay_on_housing_government_residential_buildings_other_housing_programme
justice,2021-22,capital outlay on housing__government residential buildings__other housing programme,4216__1__700,5.211899999999999,9.855,9.855,8.7318,level_3,capital outlay on housing__government residential buildings__other housing programme,3,3,389,Capital Outlay On Housing -> Government Residential Buildings -> Other Housing Programme,capital outlay,capital_outlay_on_housing_government_residential_buildings_other_housing_programme
justice,2018-19,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,0,10,10,16,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,390,Capital Outlay On Housing -> Government Residential Buildings -> Construction General Pool Accomodation,capital outlay,capital_outlay_on_housing_government_residential_buildings_construction_general_pool_accomodation
justice,2019-20,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,6.5887,16,16,23,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,391,Capital Outlay On Housing -> Government Residential Buildings -> Construction General Pool Accomodation,capital outlay,capital_outlay_on_housing_government_residential_buildings_construction_general_pool_accomodation
justice,2020-21,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,16.0668,23,23,21.85,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,392,Capital Outlay On Housing -> Government Residential Buildings -> Construction General Pool Accomodation,capital outlay,capital_outlay_on_housing_government_residential_buildings_construction_general_pool_accomodation
justice,2021-22,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,15.5715,21.85,21.85,15.4,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,393,Capital Outlay On Housing -> Government Residential Buildings -> Construction General Pool Accomodation,capital outlay,capital_outlay_on_housing_government_residential_buildings_construction_general_pool_accomodation
justice,2018-19,administration of justice__null__high courts__establishment,2014__0__102__152,49.0159,50.6298882,53.4598882,48.4187,level_4,administration of justice__high courts__establishment,4,4,394,Administration Of Justice -> High Courts -> Establishment,high courts,administration_of_justice_high_courts_establishment
justice,2019-20,administration of justice__null__high courts__establishment,2014__0__102__152,48.534400000000005,48.4187,56.0687,61.35060000000001,level_4,administration of justice__high courts__establishment,4,4,395,Administration Of Justice -> High Courts -> Establishment,high courts,administration_of_justice_high_courts_establishment
justice,2020-21,administration of justice__null__high courts__establishment,2014__0__102__152,53.4089,61.35060000000001,63.85060000000001,68.3337,level_4,administration of justice__high courts__establishment,4,4,396,Administration Of Justice -> High Courts -> Establishment,high courts,administration_of_justice_high_courts_establishment
justice,2021-22,administration of justice__null__high courts__establishment,2014__0__102__152,59.06099999999999,68.3337,68.3337,70.3069,level_4,administration of justice__high courts__establishment,4,4,397,Administration Of Justice -> High Courts -> Establishment,high courts,administration_of_justice_high_courts_establishment
justice,2018-19,administration of justice__null__high courts__judges,2014__0__102__304,3.3481,9.0032,9.0032,11.5,level_4,administration of justice__high courts__judges,4,4,398,Administration Of Justice -> High Courts -> Judges,high courts,administration_of_justice_high_courts_judges
